borough,Rape,Murder,Assault
City of London,0,0,324
Brent,1404,4644,18684
Barnet,648,3024,22788
Bexley,216,1836,15768
Camden,540,2376,14364
Ealing,648,4320,21168
Harrow,864,1512,14796
Merton,972,1188,13392
Newham,1512,5292,17712
Sutton,216,1404,13068
Bromley,432,1296,21276
Croydon,1944,4104,23760
Enfield,756,3888,19764
Hackney,972,4320,15552
Lambeth,1296,5292,19224
Haringey,1404,3888,15660
Havering,540,972,16200
Hounslow,864,1080,15336
Lewisham,1512,4536,18252
Greenwich,648,4212,16308
Islington,648,3672,13284
Redbridge,864,2376,17388
Southwark,1080,5076,17928
Hillingdon,648,2376,17388
Wandsworth,1188,3456,19332
Westminster,540,2808,13824
Tower Hamlets,1188,4104,15552
Waltham Forest,972,3456,15552
Barking and Dagenham,432,2052,11880
Kingston upon Thames,540,648,10584
Richmond upon Thames,216,432,12420
Hammersmith and Fulham,648,1944,12204
Kensington and Chelsea,648,756,11124
